"Produktname";"Hersteller";"Produktbeschreibung";"Kaufpreis_in_Euro";"Monatliche_Kosten";"Refinanzierungsmoglichkeit";"Vertrieb";"Zuletzt_aktualisiert";"Interoperabilitat";"SmartphoneTablett_erforderlich";"Stromversorgung";"Mobilitat";"Eigenstaendige_Loesung";"Oberthema";"Pflegeproblem";"Produktkategorie";"PrimeOberthema";"LPD_Schauraum";"id";"Produktform";"Internetzugang_erforderlich";"Vernetzung";"Gutesiegel";"Status"
"BECKENBODENTRAINER PELVICTOOL HOME & SPORT";"Alonea AG";"Eine schwache Beckenbodenmuskulatur ist häufig Ursache für Inkontinenz. Das PelvicTool Home & Sport ist ein bequemes Beckenboden-Trainingsgerät, das ein Sitzkissen mit einem weichen Sensortube für schmerzfreies Training enthält. Die PelvicTool-App ermöglicht das Training mit einem Smartphone oder Tablet (nicht im Lieferumfang enthalten) auf einem Sitz oder Hocker.";"über 500 €";"Nein";"";"Hersteller-Website";"2025-05-26";"";"Ja";"Akku, aufladbar";"Beweglich";"Ja";"Stürzen";"Muss plötzlich und schnell zur Toilette";"Inkontinenzhilfe";"Stürzen";"";"1081";"Hardware + Software";"Ja";"Bluetooth";"";"Aktiv"
"DayClock 7";"DayClocks International B.V.";"Die Seniorenuhr DayClocks bietet zeitliche Orientierung und Tagesstruktur in Form eines kleinen Displays. Sie zeigt Uhrzeit, Datum, Wochentage, Wetter und Termine an. In einigen Versionen sind sogar Foto- und Videofunktionen integriert. Über eine App können Angehörige die Einträge verwalten. Die Uhr kann auch zur Medikamenten- und Trinkerinnerung genutzt werden.";"101-300 €";"Ja";"";"Hersteller-Website";"2025-05-22";"";"Nein";"Akku, aufladbar";"Einfach umrüstbar";"Ja";"Stürzen,Vergesslichkeit,Einsamkeit,Sich verlaufen; Stürzen";"Schwindelig, weil zu wenig getrunken,Fehlende Beschäftigung,Vergißt (Blutdruck-) Medikamente,Schwindelig, weil zu wenig getrunken; Vergisst (Blutdruck-) Medikamente; Fehlende Beschäftigung,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen,Fühlt sich einsam,Mangelnder Antrieb zu trinken";"Kommunikationsmittel,Beschäftigungshilfe; Trinkerinnerung; Medikamenten-Management,Smart Home / Assistenzsystem,Kalender- und Erinnerungs-App";"Stürzen,Vergesslichkeit,Einsamkeit,Sich verlaufen; Stürzen";"";"1005";"Hardware + Software";"Ja";"WLAN; GMS/LTE (SIM-Karte)";"";"Aktiv"
"AnnaCare";"senvis Medical GmbH";"AnnaCare ist ein intelligentes Bett-Sensorpad, das die An- und Abwesenheit von dementen und sturzgefährdeten Personen erkennt, um ihre Sicherheit zu erhöhen. Es alarmiert Pflegekräfte rechtzeitig und erleichtert ihre tägliche Arbeit.";"Auf Anfrage";"";"";"Hersteller-Website";"2025-05-22";"Rufanlagen";"Nein";"Netzbetrieb";"Einfach umrüstbar";"Ja";"Sich verlaufen; Stürzen";"Verlässt unbemerkt die Wohnung; Findet nicht zurück nach Hause";"Aufstehmelder";"Sich verlaufen; Stürzen";"";"1021";"Hardware + Software";"Nein";"WLAN";"";"Aktiv"
"EQUA Smart Trinkflasche";"EQUA družba za ekologijo in razvoj d.o.o.";"Eine intelligente Edelstahl-Trinkflasche (680 ml) erinnert in regelmäßigen Abständen an das Trinken, um die Körperfunktionen zu unterstützen. Sie synchronisiert sich mit der EQUA Trink-App auf dem Mobilgerät, um die tägliche Trinkmenge einzustellen. Die Flasche hält Getränke bis zu 12 Stunden warm oder bis zu 24 Stunden kalt. Bitte beachten Sie, dass die Flasche nicht spülmaschinenfest ist.";"51-100 €";"Nein";"";"Online-Shops";"2025-05-22";"Apple Health; Google Fit";"Ja";"Akku, aufladbar";"Beweglich";"Nein";"Stürzen,Vergesslichkeit,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Mangelnder Antrieb zu trinken";"Trinkerinnerung";"Stürzen,Vergesslichkeit,Flüssigkeitsmangel";"";"1001";"Hardware + Software";"Ja";"Bluetooth";"";"Aktiv"
"ratiopharm Blasentrainer";"ratiopharm GmbH";"Mit dem ratiopharm Blasentrainer können Anwender ihre Blasenkontrolle verbessern und ihre Lebensqualität steigern, indem sie den Harndrang reduzieren. Mit diesem Trainingsprogramm kann eine Reizblase trainiert und der ständige Harndrang reduziert werden. Das dazugehörige Miktionstagebuch erleichtert die Dokumentation, Nachverfolgung und Auswertung des Trink- und Toilettenverhaltens.";"kostenlos";"Nein";"";"App-Stores";"2025-05-26";"";"Ja";"";"Beweglich";"";"Stürzen";"Muss plötzlich und schnell zur Toilette";"Inkontinenzhilfe";"Stürzen";"";"1082";"Nur App";"Ja";"";"";"Aktiv"
"Präsenz Sensor FP 2";"Aqara ";"Der Aqara Präsenzsensor FP 2 hilft Ihnen dabei, die Anwesenheit von Menschen zu erkennen. Dadurch können Stürze entdeckt oder zum Beispiel das Licht angeschaltet werden. ";"51-100 €";"Nein";"";"Webshop";"2025-05-26";"HomeKit; Google Home; Alexa";"Ja";"Netzbetrieb plus Batterie";"Verbaut/Montage erforderlich";"Nein";"Stürzen";"Sieht Hindernisse nicht gut,Nach Sturz um Hilfe rufen";"Sturzmelder";"Stürzen";"";"1086";"Nur Hardware";"Nein";"Bluetooth,WLAN";"";"Aktiv"
"Home & Go ";"easierLife ";"Mit dem Notrufsystem für zu Hause und unterwegs können Sie sicher sein, dass Ihnen schnell geholfen wird - egal, ob Sie zu Hause, in der Stadt oder in der Natur sind. Ihr Notruf und Ihr Standort werden an eine professionelle Notrufzentrale weitergeleitet.  ";"1-50 €";"Ja";"";"Webshop";"2025-05-26";"easierLife App";"Nein";"Batterien";"Beweglich";"Ja";"Stürzen";"Nach Sturz um Hilfe rufen";"Sturzmelder";"Stürzen";"";"1087";"Hardware + Software";"Nein";"Herstellergebunden";"";"Aktiv"
"Livy Alive ";"HUM Systems GmbH ";"Livy Alive kombiniert verschiedene Sensoren für Luftqualität, Rauch und Bewegung mit Lautsprechern, einer Kamera und Mikrofonen. So können Stürze registriert, Warnungen abgespielt und Hilferufe wahrgenommen werden.  ";"über 500 €";"Optional";"";"Hersteller-Website";"2025-05-26";"HomeKit; Google Home; Alexa";"Ja";"Netzbetrieb plus Batterie";"Verbaut/Montage erforderlich";"Ja";"Stürzen";"Nach Sturz um Hilfe rufen";"Sturzmelder";"Stürzen";"";"1088";"Hardware + Software";"Ja";"Bluetooth,ZigBee,WLAN,GMS/LTE";"";"Aktiv"
"SensFloor ";"Future Shape ";"Der Sensfloor Boden wird individuell für Ihre Wohnung/Zimmer angefertigt und montiert. Die Sensoren ermöglichen es z.B. Stürze zu erkennen, Aktivitätsprotokolle zu erstellen oder auch nächtliche Wege in der Wohnung zu dokumentieren. ";"über 500 €";"Ja";"";"Hersteller-Website";"2025-05-26";"HomeKit; Google Home; Alexa ";"Ja";"Netzbetrieb";"Verbaut/Montage erforderlich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Sieht Hindernisse nicht gut,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen,Muss plötzlich und schnell zur Toilette";"Aufstehmelder,Weglaufschutz,Sturzmelder,Smart Home / Assistenzsystem";"Stürzen,Sich verlaufen";"";"1089";"Hardware + Software";"Ja";"Herstellergebunden";"";"Aktiv"
"Wisbi ";"Texible ";"Die Betteinlage Wisbi alarmiert sobald sich die Person aus dem Bett bewegt oder die Unterlage nass wird. Die Auflage ist sehr dünn, universell nutzbar und wird per Batterie betrieben. ";"301-500 €";"Nein";"";"Hersteller-Website";"2025-05-26";"";"Ja";"Batterien";"Beweglich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung";"Aufstehmelder,Inkontinenzhilfe";"Stürzen,Sich verlaufen";"";"1090";"";"Nein";"WLAN";"";"Aktiv"
"Notfallarmband EC 70 SafePlus ";"Beurer  ";"Das Notfallarmband ist eine moderne Lösung zum Hausnotruf. Es erkennt Stürze automatisch und informiert sofort die hinterlegten Kontakte oder den Notrufdienst. Die Einrichtung kann einfach über die App „caera“ von einem Kontakt vorgenommen werden. Der Träger braucht kein Smartphone dafür. ";"101-300 €";"Ja";"";"Webshop";"2025-05-26";"";"Ja";"Akku";"Beweglich";"Nein";"Stürzen";"Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen";"Ortungssystem,Sturzmelder";"Stürzen";"";"1091";"Hardware + Software";"Ja";"GMS/LTE";"";"Aktiv"
"Alarmtrittmatte ";"Bellmann ";"Die Alarmtrittmatte von Bellman & Symfon ist Teil des Visit-Smart-Home-Systems und kann vor dem Bett oder an der Eingangstür platziert werden, um Bewegungen im Haus zu überwachen. Sie ist staubdicht, wartungsarm und für den täglichen Gebrauch geeignet. Verbinden Sie die Matte mit dem Visit-Telefonsender, um benachrichtigt zu werden, wenn jemand das Zimmer betritt oder das Bett verlässt.";"51-100 €";"Nein";"";"Webshop";"2025-05-26";"";"Nein";"Akku";"Verbaut/Montage erforderlich";"Nein";"Sich verlaufen";"Verlässt unbemerkt die Wohnung";"Aufstehmelder,Weglaufschutz";"Sich verlaufen";"";"1093";"Hardware + Software";"Nein";"";"";"Aktiv"
"Mobilecare.pro ";"Tunstall ";"Tunstall MobileCare.pro ist ein mobiler Notruf für alle Generationen, der Sicherheit und Komfort im Alltag bietet. Mit GPS-Ortung und moderner Technik unterstützt das Gerät sowohl Senioren, die selbstständig bleiben möchten, als auch Menschen, die sich bei Freizeitaktivitäten absichern wollen. Das kompakte Gerät ist geprüft, nutzt sichere Mobilfunknetze und ermöglicht verschlüsselte Datenübertragung. Es bietet hohe Zuverlässigkeit und wird durch regelmäßiges Monitoring und Fernwartung betreut. Eine SIM-Karte für alle Netze ist fest eingebaut, ohne Abhörfunktion und ohne Speicherung personenbezogener Daten.";"Auf Anfrage";"Ja";"";"Hersteller-Website";"2025-05-26";"";"Nein";"Akku";"Beweglich";"Ja";"Stürzen";"Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen";"Weglaufschutz,Sturzmelder";"Stürzen";"";"1094";"Hardware + Software";"Nein";"Bluetooth,WLAN,GSM/LTE,GMS/LTE";"";"Aktiv"
"libifyMobil ";"Libify ";"Mit libifyMobil 2.0 können Sie ein aktives Leben führen und sind dabei immer abgesichert, egal ob beim Einkaufen, Spazierengehen, bei der Gartenarbeit oder zu Hause. Das handliche Mobilgerät kann an einer Halskette, in der Tasche oder in der Hand getragen werden und ist wasserabweisend, sodass es auch beim Duschen genutzt werden kann. Der libify-Service umfasst die Aktualisierung Ihres Notfallplans, Unterstützung bei der Installation und technische Hilfe.";"1-50 €";"Ja";"";"Hersteller-Website";"2025-05-26";"";"Nein";"Akku";"Beweglich";"Ja";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen";"Sturzmelder";"Stürzen,Sich verlaufen";"";"1095";"Hardware + Software";"Nein";"GMS/LTE";"";"Aktiv"
"one button phone ";"One Button Phone GmbH ";"Das seniorengerechte Armbandtelefon kombiniert Mobiltelefon und Notruf in einem Gerät. Es hat einen zentralen Knopf zur einfachen Bedienung und bietet Funktionen wie automatische Sturzerkennung, Ortung, Alarm, Vitaldatenmessung und Schrittzähler. ";"101-300 €";"Ja";"";"Webshop";"2025-05-26";"";"Nein";"Akku";"Beweglich";"Ja";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen";"Weglaufschutz,Sturzmelder";"Stürzen,Sich verlaufen";"";"1096";"Hardware + Software";"Nein";"GMS/LTE";"";"Aktiv"
"2PCS Mavi-Sicherheitsuhr ";"2PCS Solutions GmbH ";"Die 2PCS Sicherheitsuhr bietet schnellen Zugang zu Hilfe in verschiedenen Not- und Gefahrensituationen, sowohl zuhause als auch unterwegs. Als vielseitigster Rufsender des 2PCS-Systems ermöglicht sie manuelle und automatische Alarme je nach Nutzerbedarf. In einem kompakten Gerät vereint sie Funktionen für sichere Alarmierung, Ortung und Kommunikation, um den Bewegungsfreiraum der betreuten Personen zu erweitern und Pflegekräfte zu entlasten.";"Auf Anfrage";"Ja";"";"Hersteller-Website";"2025-05-26";"";"Nein";"Akku";"Beweglich";"Ja";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen";"Weglaufschutz,Sturzmelder";"Stürzen,Sich verlaufen";"";"1097";"Hardware + Software";"Ja";"Bluetooth,GMS/LTE";"";"Aktiv"
"Claptic ";"Caregency ";"Die claptic Smartwatch bietet umfassende Funktionen wie Telefonieren, GPS, Internet und Tausende von Apps, darunter WhatsApp und Fitness-Tracker, direkt am Handgelenk. Sie verfügt über eingebaute Sicherheitsfunktionen wie SOS-Button, klatschen-basierte Notrufauslösung und Sturzerkennung. Die Uhr ist staubdicht, wasserfest und aus hautfreundlichen Materialien gefertigt. Dank Bluetooth, WLAN und GPS bleiben Sie überall verbunden. Die claptic ist eine elegante, robuste und unabhängige Alternative zu herkömmlichen Notrufsystemen und bietet Schutz ohne Smartphone oder Hausnotruf.";"301-500 €";"Ja";"";"Hersteller-Website";"2025-05-26";"";"Nein";"Akku";"Beweglich";"Ja";"Stürzen";"Nach Sturz um Hilfe rufen";"Sturzmelder";"Stürzen";"";"1098";"Hardware + Software";"Ja";"Bluetooth,WLAN,GSM/LTE";"";"Aktiv"
"Herdwächter";"EFP Nordic AS";"Der Herdwächter mit Ton- und Lichtsignal unterbricht bei Gefahr automatisch die Stromversorgung am Kochfeld und erfüllt die kommende europäische Norm prEN50615. Der kompakte Sensor wird unauffällig unter der Dunstabzugshaube montiert und nutzt digitale Doppelsensoren sowie fortschrittliche Software, um Fehlalarme zu vermeiden. Es sorgt für maximalen Brandschutz, bietet sichere drahtlose Kommunikation und verfügt über eine Kindersicherung sowie eine Timer-Funktion.";"301-500 €";"Nein";"";"Hersteller-Website";"2025-05-27";"";"Nein";"Batterien";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst, den Herd auszuschalten";"Herdüberwachung";"Vergesslichkeit";"";"1099";"Nur Hardware";"Nein";"";"";"Aktiv"
"Herdwächter WXH 231";"Hager";"Beim Einschalten des Herdes aktiviert sich automatisch die Herdüberwachung. Diese überwacht sowohl die Temperatur als auch Bewegungen, die auf die Anwesenheit eines Benutzers hinweisen. Wenn die Temperatur ungewöhnlich ansteigt oder für eine bestimmte Zeit keine Bewegung erkannt wird, löst die Sensoreneinheit einen optischen und akustischen Voralarm aus. Wird dieser nicht innerhalb von 15 Sekunden per Tastendruck bestätigt, schaltet das System den Herd automatisch ab. So kann jeder elektrische Herd mit einer Abschaltautomatik nachgerüstet werden.";"über 500 €";"Nein";"";"Hersteller-Website";"2025-05-26";"";"Nein";"Netzbetrieb";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst, den Herd auszuschalten";"Herdüberwachung";"Vergesslichkeit";"";"1100";"Nur Hardware";"Nein";"";"";"Aktiv"
"Herdwächter Deckenmontage";"EFP Nordic AS";"Der batteriebetriebene, funkvernetzte Herdwächter für die Zimmerdecke alarmiert bei Gefahr mit Audio- und Lichtsignalen und unterbricht die Stromzufuhr am Herd. Er erfüllt die Anforderungen der kommenden europäischen Norm prEN50615. Der kompakte Sensor wird an der Decke (bei einer Höhe von 220 cm bis 290 cm) montiert und nutzt digitale Sensoren sowie fortschrittliche Software, um Fehlalarme zu vermeiden und maximalen Brandschutz zu gewährleisten. Die drahtlose Kommunikation ist sicher und zuverlässig. Dieses Produkt ist ideal für Küchen, in denen keine Wandmontage oder Installation unter der Dunstabzugshaube möglich ist, wie bei Kochinseln. Erkennt der Sensor eine Bewegung vor dem Herd, deaktiviert er sich automatisch, um Fehlalarme zu verhindern und bietet dadurch mehr Gestaltungsfreiheit in der Küche.";"301-500 €";"Nein";"";"Hersteller-Website";"2025-05-26";"";"Nein";"Batterien";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst, den Herd auszuschalten";"Herdüberwachung";"Vergesslichkeit";"";"1101";"Nur Hardware";"Nein";"Herstellergebunden";"";"Aktiv"
"Herdüberwachung Elsa";"Scanvest Deutschland GmbH";"Die Herdüberwachung von Scanvest verhindert zuverlässig Herdbrände gemäß der Norm EN50615. Bei übermäßiger Hitzeentwicklung schaltet das System den Elektroherd automatisch ab. Im Alltag funktioniert der Herd wie gewohnt und erfordert keine zusätzliche Bedienung. Der Sensor wird idealerweise über der Herdmitte an der Dunstabzugshaube, aber auch an Wand oder Decke montiert. Bei erhöhter Temperatur warnt das System mit Pieptönen; bei weiterer Temperatursteigerung schaltet es den Herd automatisch ab.";"101-300 €";"Nein";"";"Webshop";"2025-05-26";"";"Nein";"Netzbetrieb";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst, den Herd auszuschalten";"Herdüberwachung";"Vergesslichkeit";"";"1102";"Nur Hardware";"Nein";"";"";"Aktiv"
"Herdwächter SGK5010 ";"INDEXA";"Der Herdwächter erkennt mithilfe von Infrarot- und Thermosensoren hohe Temperaturen und Temperaturveränderungen und warnt akustisch bei Gefahr. Vor dem Hauptalarm ertönt ein Voralarm, währenddessen der Herdwächter zurückgesetzt werden kann, ohne das Kochfeld auszuschalten. Bei anhaltender Gefahr sendet die Sensoreinheit ein Funksignal an die Steuereinheit, die dann die Stromzufuhr zum Kochfeld unterbricht. Die Sensoreinheit lässt sich einfach mit einer selbstklebenden Magnetplatte an der Dunstabzugshaube, Wand oder Decke befestigen, während die Steuereinheit von einem Elektriker installiert wird. ";"301-500 €";"Nein";"Pflegehilfsmittelkatalog-Nr.: 52.40.03.3001";"Hersteller-Website";"2025-05-27";"";"Nein";"Netzbetrieb";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst, den Herd auszuschalten";"Herdüberwachung";"Vergesslichkeit";"ZEKI";"1103";"Nur Hardware";"Nein";"";"";"Aktiv"
"Innohome Herdwächter SGK5010";"Innohome";"Der Innohome Herdwächter SGK5010 ist einfach zu bedienen und sorgt für Sicherheit in der Küche. Er misst die Temperatur des Herdes und löst bei einer potenziellen Gefahr einen Voralarm aus. Wenn dieser ignoriert wird, aktiviert das Gerät einen Alarm und unterbricht die Stromzufuhr zum Herd. Sobald der Herd abgekühlt ist, kann er wieder verwendet werden. Der Herdwächter arbeitet geräuschlos im Hintergrund und ist auch für spezielle Benutzergruppen geeignet. Er passt die Empfindlichkeit automatisch an die Kochgewohnheiten an, um Fehlalarme zu vermeiden und den Kochvorgang nicht zu unterbrechen.";"301-500 €";"Nein";"Pflegehilfsmittelkatalog-Nr.: 52.40.03.3001 ";"Hersteller-Website";"2025-05-27";"";"Nein";"Netzbetrieb";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst, den Herd auszuschalten";"Herdüberwachung";"Vergesslichkeit";"";"1104";"Nur Hardware";"Nein";"";"";"Aktiv"
"Herdwächtersensor WXH212";"Hager";"Ein Herdwächter nach DIN EN 50615 dient als Sicherheitsvorrichtung zur Vermeidung und Erkennung von Bränden, die durch das Kochen oder vergessene Gegenstände auf dem Herd entstehen können. Der zweiteilige Herdwächter für den Innenbereich besteht aus einer Spannungsunterbrechungseinheit und einer batteriebetriebenen Sensoreinheit mit Funkmodul. Die Funkverbindung zwischen beiden Einheiten wird automatisch hergestellt. Anhand voreingestellter Parameter wird das Gefahrenpotenzial ermittelt und bei Bedarf ein Voralarm ausgelöst. Wird dieser Voralarm nicht quittiert, unterbricht die Spannungsunterbrechungseinheit die Stromzufuhr. Die Sensoreinheit, die in der Nähe des Herdes (z. B. unter der Dunstabzugshaube) montiert wird, überwacht Temperatur und Bewegungen. ";"301-500 €";"Nein";"";"Hersteller-Website";"2025-05-26";"";"Nein";"Batterien";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst, den Herd auszuschalten";"Herdüberwachung";"Vergesslichkeit";"";"1106";"Nur Hardware";"Nein";"";"";"Aktiv"
"DURST – Getränke Lieferservice App";"Durststrecke GmbH";"Die Durst App zeigt Getränkehändler in der Umgebung sowie deren gesamtes Sortiment, einschließlich Marken, Preise und verfügbare Gebinde. Ähnlich wie bei anderen Smartphone-Apps kann man mit wenigen Klicks die gewünschten Getränke auswählen, die der Lieferservice dann nach Hause liefert.";"Kostenlos";"Nein";"";"App-Stores";"2025-05-26";"";"Ja";"";"Beweglich";"Nein";"Flüssigkeitsmangel";"Getränkeversorgung ist schwierig,Getränkeversorgung ist schwierig";"Getränkeliefer-Apps";"Flüssigkeitsmangel";"";"1107";"Nur App";"Ja";"";"";"Aktiv"
"flaschenpost App";"flaschenpost SE";"Die Flaschenpost App und die Website bieten die Möglichkeit, Lebensmittel und Getränke online zu bestellen und nach Hause liefern zu lassen. Das lästige Schleppen schwerer Kisten entfällt. Die große Auswahl ermöglicht es, den unterschiedlichen Vorlieben und Geschmäckern gerecht zu werden.";"Kostenlos";"Nein";"";"App-Stores";"2025-05-26";"";"Ja";"";"Beweglich";"";"Flüssigkeitsmangel";"Getränkeversorgung ist schwierig";"Getränkeliefer-Apps";"Flüssigkeitsmangel";"";"1108";"Nur App";"Ja";"";"";"Aktiv"
"Mein Getränkemobil App";"2G+ Plattform GmbH";"Die ""mein Getränkemobil App"" hilft bei der Getränkebestellung über GEFAKO oder GEDIG-Händler. Die Getränke werden bis an die Haustür geliefert und das mühsame Schleppen von Getränkekisten entfällt. Um den Service nutzen zu können, muss man sich beim Händler einen Registrierungscode geben lassen. ";"Kostenlos";"Optional";"";"App-Stores";"2025-05-26";"";"Ja";"";"Beweglich";"Nein";"Vergesslichkeit,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Getränkeversorgung ist schwierig,Getränkeversorgung ist schwierig";"Getränkeliefer-Apps";"Vergesslichkeit,Flüssigkeitsmangel";"";"1109";"Nur App";"Ja";"";"";"Aktiv"
"Luminea Home Control Wassermelder ";"Luminea Home Control ";"Der Luminea Home Control Wassermelder erkennt Wasserlecks und benachrichtigt die Nutzer per App bei Wasserschäden. Er kann in allen Räumen oder an Stellen eingesetzt werden, an denen Wasser austreten könnte. Der Wassermelder ist zudem mit anderen Smart-Home-Geräten und Sprachassistenten vernetzt, um eine umfassende Hausüberwachung zu ermöglichen.";"1-50 €";"Nein";"";"Webshop";"2025-05-26";"Alexa; Google Home; HomeKit";"Ja";"Batterien";"Einfach umrüstbar";"Ja";"Vergesslichkeit";"Vergisst, das Wasser abzudrehen";"Wassersensor";"Vergesslichkeit";"";"1110";"Hardware + Software";"Nein";"WLAN";"";"Aktiv"
"Wassermelder HSWM10000";"ABUS";"Der ABUS-Wassermelder ist ein technisches Gerät, das auf Wasser und andere Flüssigkeiten reagiert. Sobald seine Kontaktstellen mit Wasser in Berührung kommen, löst er über einen integrierten Signalgeber (85 dB(A) @ 1 m) Alarm aus. Der Melder wird häufig auf dem Boden in Küche, Bad oder Keller installiert, um frühzeitig auf Rohrbrüche oder geplatzte Wasserschläuche von Wasch- oder Spülmaschinen aufmerksam zu machen. So kann schnell eingegriffen und größerer Schaden verhindert werden. Für mehr Flexibilität können die Kontaktstellen direkt am Melder verbleiben oder mit dem mitgelieferten 150 cm langen Kabel an einer entfernteren Stelle angebracht werden.";"1-50 €";"Nein";"";"Webshop";"2025-05-27";"";"Nein";"Akku";"Einfach umrüstbar";"Ja";"Vergesslichkeit";"Vergisst, das Wasser abzudrehen";"Wassersensor";"Vergesslichkeit";"";"1111";"Nur Hardware";"Nein";"";"";"Aktiv"
"Eve Water Guard - Smarter Wassermelder";"eve.";"Der Eve Water Guard ist ein flexibler und zuverlässiger Wassersensor, der sich durch ein zwei Meter langes, hochsensibles Kabel von anderen Wassermeldern unterscheidet. Dieses Kabel wird auf dem Boden ausgelegt und erkennt Wasserlecks entlang der gesamten Länge. Bei einem Wasserleck gibt der Sensor einen schrillen Alarmton von sich, blinkt mit LEDs und sendet eine Benachrichtigung an dein Smartphone, wenn du dich in Bluetooth-Reichweite befindest. ";"51-100 €";"Nein";"";"Webshop";"2025-05-27";"HomeKit; Thread";"Ja";"";"Einfach umrüstbar";"Nein";"Vergesslichkeit";"Vergisst, das Wasser abzudrehen";"Wassersensor";"Vergesslichkeit";"";"1112";"Hardware + Software";"Nein";"Bluetooth,WLAN";"";"Aktiv"
"Smart Home Wassermelder";"Bosch";"Der Bosch Smart Home Wassermelder erkennt Wasseraustritt ab einer Menge von 1,5 mm und alarmiert zuverlässig. Bei einem Vorfall sendet der smarte Sensor eine Push-Benachrichtigung, sodass über die App schnell gehandelt werden kann, auch durch eine Notruf-Direktwahl. Der Melder informiert ebenfalls über unbeabsichtigte Bewegungen, z.B. durch Haustiere oder beim Putzen. Die rutschfeste Silikonbeschichtung und das kompakte Design ermöglichen eine optimale Platzierung in Ecken oder unter der Waschmaschine.";"1-50 €";"Nein";"";"Webshop";"2025-05-27";"";"Ja";"Batterien";"Einfach umrüstbar";"Nein";"Vergesslichkeit";"Vergisst, das Wasser abzudrehen";"Wassersensor";"Vergesslichkeit";"";"1113";"Hardware + Software";"Ja";"ZigBee";"";"Aktiv"
"Aqara Wassermelder";"Aqara";"Der Aqara Wassermelder erkennt Wasserlecks und sendet bei Erkennung eine Warnung an Ihr Telefon sowie einen Alarm an den Aqara Hub, um Überschwemmungen zu verhindern. Er kann auch verbundene Smart-Home-Geräte auslösen, wenn überschüssiges Wasser erkannt wird. Für die Nutzung ist ein Aqara Hub und eine 2,4-GHz-WLAN-Verbindung erforderlich. Er arbeitet mit einer Wasserstandsschwelle von 0,5 mm und benötigt keine Verkabelung oder Schrauben.";"1-50 €";"Nein";"";"Webshop";"2025-05-27";"Apple Home; Alexa; Google Home; Smart Things; IFTTT; Homey";"Ja";"Batterien";"Einfach umrüstbar";"Nein";"Vergesslichkeit";"Vergisst, das Wasser abzudrehen";"Wassersensor";"Vergesslichkeit";"";"1114";"Hardware + Software";"Ja";"WLAN";"";"Aktiv"
"Funk-Wassermelder";"Tunstall";"Das Tunstall Funk-System kann mit verschiedenen Zubehörteilen erweitert werden, um Sicherheit und Kontrolle zu Hause zu erhöhen. Rufauslöser senden automatisch Hilfe bei Stürzen. Rauch-, Gas- und Wassermelder bieten zusätzlichen Schutz. Ein Medikamentenspender erinnert an die Einnahme, und ein Bewegungsmelder überwacht die Aktivität. Die einfache Installation erleichtert die Nutzung.";"101-300 €";"Nein";"";"Webshop";"2025-05-27";"mit Tunstall-Systemen";"Nein";"Batterien";"Einfach umrüstbar";"Ja";"Vergesslichkeit";"Vergisst, das Wasser abzudrehen";"Wassersensor";"Vergesslichkeit";"";"1115";"Nur Hardware";"Nein";"";"";"Aktiv"
"Smarter Rauchmelder";"Netatmo";"Der smarte Rauchmelder von Netatmo ermöglicht die Fernüberwachung des Rauchmelders per WLAN. Der Alarm funktioniert unabhängig von Netzwerkverbindungen und durch die verbaute Batterie sind 10 Jahre Lebenszeit zu erwarten. Mit HomeKit oder Google Home kann jederzeit der Status des Rauchmelders abgefragt werden.";"51-100 €";"Nein";"";"Webshop";"2025-05-27";"HomeKit; Google Home; Netatmo Home + Security App ";"Nein";"Batterien";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst, den Herd auszuschalten";"Smarter Rauchmelder";"Vergesslichkeit";"";"1116";"Hardware + Software";"Nein";"";"";"Aktiv"
